# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_61b30d8fd2ede69c381f"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P1/2)"
# neutral: "Xe"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-15 19:59:33"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14061_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "ad7f7235f86dcb671593c0c3cb684563fabc9c038a3097a38330b3e164cc3118"
reduced_electric_field_Td,reduced_transport_SI
9.000000000000e-02,2.677631933772e+21
3.700000000000e-01,2.677631933772e+21
2.600000000000e+00,2.677631933772e+21
4.550000000000e+00,2.677366769191e+21
6.370000000000e+00,2.677101604611e+21
8.910000000000e+00,2.676571275450e+21
1.284000000000e+01,2.675510617128e+21
1.699000000000e+01,2.673919629645e+21
1.955000000000e+01,2.672858971323e+21
2.249000000000e+01,2.671267983840e+21
2.475000000000e+01,2.669942160937e+21
2.723000000000e+01,2.668351173455e+21
3.004000000000e+01,2.666495021391e+21
3.315000000000e+01,2.664108540167e+21
3.482000000000e+01,2.662782717264e+21
3.658000000000e+01,2.661456894362e+21
3.842000000000e+01,2.659865906879e+21
4.037000000000e+01,2.658009754815e+21
4.241000000000e+01,2.656153602752e+21
4.456000000000e+01,2.654297450689e+21
4.682000000000e+01,2.652176134045e+21
4.874000000000e+01,2.650319981981e+21
4.973000000000e+01,2.649259323659e+21
5.074000000000e+01,2.648198665337e+21
5.178000000000e+01,2.647138007015e+21
5.283000000000e+01,2.646077348693e+21
5.391000000000e+01,2.645016690372e+21
5.613000000000e+01,2.642630209147e+21
5.845000000000e+01,2.640243727923e+21
5.964000000000e+01,2.638917905020e+21
6.086000000000e+01,2.637592082118e+21
6.211000000000e+01,2.636266259215e+21
6.468000000000e+01,2.633349448830e+21
6.601000000000e+01,2.632023625928e+21
6.737000000000e+01,2.630432638445e+21
6.875000000000e+01,2.628841650962e+21
7.017000000000e+01,2.627250663479e+21
7.161000000000e+01,2.625659675996e+21
7.309000000000e+01,2.624068688513e+21
7.614000000000e+01,2.620621548967e+21
7.772000000000e+01,2.618765396903e+21
7.932000000000e+01,2.616909244840e+21
8.436000000000e+01,2.611340788650e+21
8.611000000000e+01,2.609484636586e+21
8.791000000000e+01,2.607363319942e+21
8.975000000000e+01,2.605242003298e+21
1.015800000000e+02,2.594105090918e+21
1.037100000000e+02,2.592248938854e+21
1.058800000000e+02,2.590392786791e+21
1.103700000000e+02,2.586680482664e+21
1.126900000000e+02,2.585089495181e+21
1.199400000000e+02,2.580581697313e+21
1.224600000000e+02,2.579255874410e+21
1.276600000000e+02,2.577134557767e+21
