# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_e806de4119289519d46a"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P1/2)"
# neutral: "Xe"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-15 19:59:33"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14061_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "ad7f7235f86dcb671593c0c3cb684563fabc9c038a3097a38330b3e164cc3118"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,2.741801762250e+21
2.800000000000e-01,2.741801762250e+21
3.440000000000e+00,2.741536597669e+21
4.820000000000e+00,2.741271433089e+21
8.090000000000e+00,2.740475939347e+21
9.710000000000e+00,2.739945610186e+21
1.117000000000e+01,2.739415281025e+21
1.478000000000e+01,2.737824293542e+21
1.871000000000e+01,2.735702976899e+21
2.059000000000e+01,2.734377153996e+21
2.162000000000e+01,2.733581660255e+21
2.271000000000e+01,2.732786166513e+21
2.385000000000e+01,2.731990672772e+21
2.505000000000e+01,2.730930014450e+21
2.631000000000e+01,2.729869356128e+21
2.763000000000e+01,2.728543533225e+21
3.049000000000e+01,2.725891887420e+21
3.365000000000e+01,2.722709912455e+21
3.535000000000e+01,2.720853760391e+21
3.607000000000e+01,2.720058266650e+21
3.754000000000e+01,2.718467279167e+21
3.831000000000e+01,2.717671785425e+21
3.908000000000e+01,2.716611127103e+21
4.069000000000e+01,2.714754975040e+21
4.151000000000e+01,2.713694316718e+21
4.236000000000e+01,2.712633658396e+21
4.322000000000e+01,2.711573000074e+21
4.591000000000e+01,2.708125860528e+21
4.685000000000e+01,2.707065202206e+21
4.781000000000e+01,2.705739379303e+21
4.879000000000e+01,2.704413556401e+21
4.978000000000e+01,2.703087733498e+21
5.184000000000e+01,2.700436087694e+21
5.623000000000e+01,2.694072137762e+21
5.739000000000e+01,2.692481150279e+21
5.857000000000e+01,2.690890162796e+21
5.978000000000e+01,2.689034010733e+21
6.101000000000e+01,2.687177858669e+21
6.227000000000e+01,2.685321706606e+21
6.355000000000e+01,2.683465554542e+21
6.487000000000e+01,2.681609402479e+21
6.622000000000e+01,2.679222921255e+21
7.189000000000e+01,2.671267983840e+21
7.339000000000e+01,2.669146667196e+21
7.492000000000e+01,2.666760185972e+21
7.648000000000e+01,2.664373704747e+21
7.808000000000e+01,2.661987223523e+21
7.971000000000e+01,2.659600742298e+21
8.139000000000e+01,2.656949096494e+21
8.309000000000e+01,2.654562615269e+21
8.484000000000e+01,2.651910969464e+21
8.662000000000e+01,2.649259323659e+21
8.845000000000e+01,2.646607677854e+21
9.031000000000e+01,2.643956032050e+21
9.222000000000e+01,2.641304386245e+21
9.417000000000e+01,2.638387575859e+21
9.616000000000e+01,2.635735930054e+21
1.024200000000e+02,2.627250663479e+21
1.068300000000e+02,2.621417042708e+21
1.212700000000e+02,2.605507167879e+21
1.238700000000e+02,2.602855522074e+21
1.265300000000e+02,2.600734205430e+21
1.292400000000e+02,2.598612888786e+21
1.320100000000e+02,2.596491572142e+21
1.348500000000e+02,2.594635420079e+21
1.377400000000e+02,2.593044432596e+21
1.406900000000e+02,2.591983774274e+21
1.437100000000e+02,2.590923115952e+21
1.467800000000e+02,2.590127622210e+21
1.499200000000e+02,2.589862457630e+21
1.531200000000e+02,2.590127622210e+21
1.597100000000e+02,2.591983774274e+21
1.772600000000e+02,2.606832990781e+21
1.809400000000e+02,2.611871117810e+21
1.846800000000e+02,2.617704738581e+21
1.884700000000e+02,2.623803523932e+21
1.922900000000e+02,2.631228132186e+21
1.961400000000e+02,2.638387575859e+21
2.000300000000e+02,2.647403171596e+21
2.039400000000e+02,2.655623273591e+21
2.078500000000e+02,2.664108540167e+21
2.117900000000e+02,2.673654465064e+21
2.157300000000e+02,2.681874567059e+21
2.235700000000e+02,2.697784441889e+21
3.569200000000e+02,2.805706426147e+21
3.667600000000e+02,2.831957719616e+21
3.771200000000e+02,2.857678683923e+21
3.825100000000e+02,2.871467242109e+21
3.880600000000e+02,2.884990635714e+21
3.937700000000e+02,2.899044358479e+21
3.996700000000e+02,2.913098081245e+21
4.057600000000e+02,2.926886639431e+21
4.120500000000e+02,2.940940362197e+21
4.185600000000e+02,2.954728920382e+21
4.252900000000e+02,2.968517478567e+21
4.322700000000e+02,2.981775707592e+21
4.394900000000e+02,2.995033936616e+21
4.469900000000e+02,3.007761836480e+21
4.547600000000e+02,3.019959407182e+21
4.628200000000e+02,3.031361484143e+21
4.711800000000e+02,3.042233231943e+21
4.798600000000e+02,3.052574650582e+21
4.888700000000e+02,3.061855410899e+21
4.982100000000e+02,3.070340677475e+21
5.079100000000e+02,3.078030450309e+21
5.179800000000e+02,3.084394400241e+21
5.284100000000e+02,3.089962856431e+21
5.392500000000e+02,3.094205489719e+21
5.504800000000e+02,3.097387464685e+21
5.621200000000e+02,3.098978452168e+21
5.742100000000e+02,3.099243616748e+21
5.867200000000e+02,3.098713287587e+21
8.364100000000e+02,3.005110190675e+21
8.578200000000e+02,2.991851961650e+21
8.798600000000e+02,2.978328568045e+21
9.026000000000e+02,2.964009680699e+21
9.260900000000e+02,2.949425628772e+21
9.502200000000e+02,2.934311247684e+21
9.751300000000e+02,2.918931702016e+21
1.000780000000e+03,2.903286991767e+21
1.027270000000e+03,2.887111952357e+21
1.054530000000e+03,2.870936912948e+21
1.082620000000e+03,2.854231544377e+21
1.141240000000e+03,2.820555642655e+21
1.171810000000e+03,2.803585109504e+21
1.203260000000e+03,2.786614576352e+21
1.268850000000e+03,2.751878016308e+21
1.374150000000e+03,2.700170923113e+21
1.411180000000e+03,2.682935225381e+21
1.449210000000e+03,2.665964692230e+21
1.488260000000e+03,2.648728994498e+21
1.528320000000e+03,2.631758461347e+21
1.839220000000e+03,2.513760223030e+21
1.938480000000e+03,2.482205637952e+21
2.151790000000e+03,2.424930088566e+21
2.208340000000e+03,2.410611201220e+21
2.266250000000e+03,2.396292313873e+21
2.325490000000e+03,2.381973426527e+21
2.386120000000e+03,2.368184868342e+21
2.511560000000e+03,2.341403245712e+21
2.576430000000e+03,2.328145016688e+21
2.642760000000e+03,2.315417116824e+21
2.710610000000e+03,2.302689216961e+21
2.779960000000e+03,2.290226481678e+21
2.850840000000e+03,2.278028910976e+21
2.923260000000e+03,2.266096504854e+21
2.997260000000e+03,2.254429263312e+21
3.072860000000e+03,2.242762021771e+21
3.150100000000e+03,2.231625109390e+21
3.228980000000e+03,2.220753361590e+21
3.309550000000e+03,2.209881613790e+21
3.392070000000e+03,2.198744701410e+21
3.475950000000e+03,2.188403282771e+21
3.561610000000e+03,2.178327028712e+21
