# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_d03c5871f1ab5e9b095d"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P3/2)"
# neutral: "Xe"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-20 22:07:58"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14064_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "a703d73199088c61984dfdca70e9b1fed9e9b3a25b252c6574daeed8a369ca25"
reduced_electric_field_Td,reduced_transport_SI
9.000000000000e-02,2.796690830411e+21
3.600000000000e-01,2.796690830411e+21
1.420000000000e+00,2.796690830411e+21
2.490000000000e+00,2.796690830411e+21
4.350000000000e+00,2.796690830411e+21
8.530000000000e+00,2.796955994991e+21
1.023000000000e+01,2.797221159572e+21
1.228000000000e+01,2.797486324152e+21
1.412000000000e+01,2.797751488733e+21
1.624000000000e+01,2.798016653313e+21
1.867000000000e+01,2.798281817894e+21
2.361000000000e+01,2.799342476216e+21
2.862000000000e+01,2.800933463699e+21
3.005000000000e+01,2.801463792860e+21
3.155000000000e+01,2.801994122021e+21
3.312000000000e+01,2.802524451182e+21
3.832000000000e+01,2.804645767826e+21
4.023000000000e+01,2.805441261567e+21
4.223000000000e+01,2.806501919889e+21
4.432000000000e+01,2.807562578211e+21
4.702000000000e+01,2.809153565694e+21
4.795000000000e+01,2.809683894855e+21
4.987000000000e+01,2.811009717757e+21
5.187000000000e+01,2.812335540660e+21
5.394000000000e+01,2.813661363562e+21
5.833000000000e+01,2.816578173948e+21
6.066000000000e+01,2.818434326011e+21
6.307000000000e+01,2.820290478074e+21
6.558000000000e+01,2.822411794718e+21
6.687000000000e+01,2.823472453040e+21
6.819000000000e+01,2.824533111362e+21
6.953000000000e+01,2.825593769684e+21
7.089000000000e+01,2.826654428006e+21
7.228000000000e+01,2.827715086328e+21
7.514000000000e+01,2.830101567552e+21
7.661000000000e+01,2.831162225874e+21
7.811000000000e+01,2.832488048777e+21
7.964000000000e+01,2.833813871679e+21
8.278000000000e+01,2.836200352904e+21
8.605000000000e+01,2.838586834128e+21
9.117000000000e+01,2.842564302835e+21
9.293000000000e+01,2.844155290318e+21
9.473000000000e+01,2.845746277801e+21
9.657000000000e+01,2.847337265284e+21
9.844000000000e+01,2.848928252767e+21
1.022800000000e+02,2.852375392313e+21
1.042600000000e+02,2.853966379796e+21
1.062700000000e+02,2.855557367279e+21
1.083300000000e+02,2.857148354762e+21
1.104200000000e+02,2.859004506826e+21
1.125500000000e+02,2.860860658889e+21
1.147200000000e+02,2.862716810952e+21
1.169300000000e+02,2.864838127596e+21
1.191800000000e+02,2.866694279660e+21
1.214800000000e+02,2.868815596304e+21
1.286200000000e+02,2.875975039977e+21
1.336200000000e+02,2.880748002426e+21
1.362100000000e+02,2.883664812811e+21
1.442300000000e+02,2.891619750226e+21
1.469900000000e+02,2.894801725192e+21
1.498100000000e+02,2.898248864738e+21
1.526700000000e+02,2.902226333445e+21
1.555600000000e+02,2.906999295894e+21
1.645300000000e+02,2.921053018660e+21
1.676400000000e+02,2.925560816528e+21
1.708100000000e+02,2.930598943558e+21
1.740300000000e+02,2.934841576845e+21
