# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_c8996515090ae6b57f8b"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "73Ge^+(2P1/2)"
# neutral: "Xe"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-15 19:59:33"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14068_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "cc139ac52122b34b168e55f903fa3e445ba1b00bc5256da9a3019c9a42123f28"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,2.801463792860e+21
1.600000000000e-01,2.801463792860e+21
6.300000000000e-01,2.801463792860e+21
1.110000000000e+00,2.801463792860e+21
1.940000000000e+00,2.801463792860e+21
2.720000000000e+00,2.801463792860e+21
3.810000000000e+00,2.801463792860e+21
5.480000000000e+00,2.801198628279e+21
7.250000000000e+00,2.800933463699e+21
8.340000000000e+00,2.800668299118e+21
1.161000000000e+01,2.799607640796e+21
1.219000000000e+01,2.799342476216e+21
1.482000000000e+01,2.798281817894e+21
1.635000000000e+01,2.797486324152e+21
1.717000000000e+01,2.796955994991e+21
1.803000000000e+01,2.796425665830e+21
1.893000000000e+01,2.795895336669e+21
1.988000000000e+01,2.795365007508e+21
2.028000000000e+01,2.795099842928e+21
2.069000000000e+01,2.794834678347e+21
2.285000000000e+01,2.793243690865e+21
2.378000000000e+01,2.792448197123e+21
2.474000000000e+01,2.791652703382e+21
2.627000000000e+01,2.790326880479e+21
2.734000000000e+01,2.789266222157e+21
2.789000000000e+01,2.788735892996e+21
3.021000000000e+01,2.786349411772e+21
3.144000000000e+01,2.785023588869e+21
3.207000000000e+01,2.784228095128e+21
3.272000000000e+01,2.783432601386e+21
3.338000000000e+01,2.782637107645e+21
3.406000000000e+01,2.781841613904e+21
3.475000000000e+01,2.781046120162e+21
3.617000000000e+01,2.779189968099e+21
3.691000000000e+01,2.778129309777e+21
3.765000000000e+01,2.777068651455e+21
4.081000000000e+01,2.772826018167e+21
4.164000000000e+01,2.771500195264e+21
4.249000000000e+01,2.770174372362e+21
4.336000000000e+01,2.768848549460e+21
4.424000000000e+01,2.767522726557e+21
4.515000000000e+01,2.766196903655e+21
4.607000000000e+01,2.764605916172e+21
4.701000000000e+01,2.763014928689e+21
4.896000000000e+01,2.759832953723e+21
4.997000000000e+01,2.757976801660e+21
5.099000000000e+01,2.756385814177e+21
5.204000000000e+01,2.754529662113e+21
5.421000000000e+01,2.750817357986e+21
5.533000000000e+01,2.748696041342e+21
5.648000000000e+01,2.746574724699e+21
5.884000000000e+01,2.742332091411e+21
6.007000000000e+01,2.739945610186e+21
6.523000000000e+01,2.730399685289e+21
6.799000000000e+01,2.725361558260e+21
6.942000000000e+01,2.722709912455e+21
7.088000000000e+01,2.719793102069e+21
7.237000000000e+01,2.717141456264e+21
7.706000000000e+01,2.708125860528e+21
7.869000000000e+01,2.704943885562e+21
8.036000000000e+01,2.701761910596e+21
8.207000000000e+01,2.698579935630e+21
8.382000000000e+01,2.695132796084e+21
8.744000000000e+01,2.688503681572e+21
8.931000000000e+01,2.684791377445e+21
9.123000000000e+01,2.681344237898e+21
9.319000000000e+01,2.677631933772e+21
9.519000000000e+01,2.673919629645e+21
9.724000000000e+01,2.670207325518e+21
9.934000000000e+01,2.666495021391e+21
1.014900000000e+02,2.662517552684e+21
1.036900000000e+02,2.658805248557e+21
1.059400000000e+02,2.654827779850e+21
1.082400000000e+02,2.650850311142e+21
1.105900000000e+02,2.646872842435e+21
1.154700000000e+02,2.639183069601e+21
1.179900000000e+02,2.635205600893e+21
1.205700000000e+02,2.631228132186e+21
1.259100000000e+02,2.623538359352e+21
1.286700000000e+02,2.619826055225e+21
1.314900000000e+02,2.616113751098e+21
1.343800000000e+02,2.612931776132e+21
1.373300000000e+02,2.609749801167e+21
1.403500000000e+02,2.606567826201e+21
1.434300000000e+02,2.603916180396e+21
1.465800000000e+02,2.601529699171e+21
1.497900000000e+02,2.599408382528e+21
1.530800000000e+02,2.598082559625e+21
1.598800000000e+02,2.595961242981e+21
1.779800000000e+02,2.603385851235e+21
1.818400000000e+02,2.607363319942e+21
1.857300000000e+02,2.612401446971e+21
1.936900000000e+02,2.625659675996e+21
1.977700000000e+02,2.633349448830e+21
2.100900000000e+02,2.667290515133e+21
2.142100000000e+02,2.677366769191e+21
2.265600000000e+02,2.701231581435e+21
3.525200000000e+02,2.789266222157e+21
3.873300000000e+02,2.836465517484e+21
4.104700000000e+02,2.895332054353e+21
4.232400000000e+02,2.926091145689e+21
4.299800000000e+02,2.940940362197e+21
4.369500000000e+02,2.955524414123e+21
4.441900000000e+02,2.969578136889e+21
4.516900000000e+02,2.983101530494e+21
4.594800000000e+02,2.996094594938e+21
4.675700000000e+02,3.008557330221e+21
4.759600000000e+02,3.020224571763e+21
4.846800000000e+02,3.031096319563e+21
4.937400000000e+02,3.041172573621e+21
5.031300000000e+02,3.050188169358e+21
5.230400000000e+02,3.065302550446e+21
5.335600000000e+02,3.071136171216e+21
5.444800000000e+02,3.075643969085e+21
5.558100000000e+02,3.078825944051e+21
5.675600000000e+02,3.080682096114e+21
5.797600000000e+02,3.080947260694e+21
5.923900000000e+02,3.080947260694e+21
6.190700000000e+02,3.079621437792e+21
8.448800000000e+02,2.990791303328e+21
8.665100000000e+02,2.977798238884e+21
8.888400000000e+02,2.964009680699e+21
9.118600000000e+02,2.949690793353e+21
9.355700000000e+02,2.935106741426e+21
9.600300000000e+02,2.919992360338e+21
9.852400000000e+02,2.904612814670e+21
1.011220000000e+03,2.888968104421e+21
1.038020000000e+03,2.872793065011e+21
1.065610000000e+03,2.856618025601e+21
1.094030000000e+03,2.839912657030e+21
1.123260000000e+03,2.823207288460e+21
1.153350000000e+03,2.806236755308e+21
1.184280000000e+03,2.789266222157e+21
1.216050000000e+03,2.772295689006e+21
