# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_27cdbc5228c373a10b52"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "73Ge^+(2P3/2)"
# neutral: "Xe"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-20 22:07:58"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14069_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "385ed8ffbf6494f09cb33ac4702901ad8fc2078da1dc3b3fe62904d0fb0b694a"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,9.700000000000e+19
3.200000000000e-01,9.710000000000e+19
1.280000000000e+00,9.710000000000e+19
2.240000000000e+00,9.710000000000e+19
3.920000000000e+00,9.730000000000e+19
5.480000000000e+00,9.750000000000e+19
7.680000000000e+00,9.790000000000e+19
9.210000000000e+00,9.820000000000e+19
1.106000000000e+01,9.880000000000e+19
1.271000000000e+01,9.930000000000e+19
1.462000000000e+01,1.001000000000e+20
1.681000000000e+01,1.010000000000e+20
2.339000000000e+01,1.048000000000e+20
2.708000000000e+01,1.075000000000e+20
2.843000000000e+01,1.086000000000e+20
2.985000000000e+01,1.098000000000e+20
3.134000000000e+01,1.111000000000e+20
3.455000000000e+01,1.142000000000e+20
3.627000000000e+01,1.160000000000e+20
3.808000000000e+01,1.180000000000e+20
4.159000000000e+01,1.222000000000e+20
4.242000000000e+01,1.232000000000e+20
4.326000000000e+01,1.243000000000e+20
4.681000000000e+01,1.293000000000e+20
4.774000000000e+01,1.306000000000e+20
4.869000000000e+01,1.319000000000e+20
5.165000000000e+01,1.365000000000e+20
5.372000000000e+01,1.400000000000e+20
5.588000000000e+01,1.438000000000e+20
5.698000000000e+01,1.457000000000e+20
5.811000000000e+01,1.478000000000e+20
5.926000000000e+01,1.499000000000e+20
6.043000000000e+01,1.522000000000e+20
6.163000000000e+01,1.545000000000e+20
6.409000000000e+01,1.594000000000e+20
6.535000000000e+01,1.621000000000e+20
6.664000000000e+01,1.648000000000e+20
6.795000000000e+01,1.677000000000e+20
6.929000000000e+01,1.706000000000e+20
7.065000000000e+01,1.737000000000e+20
7.204000000000e+01,1.769000000000e+20
7.636000000000e+01,1.873000000000e+20
7.937000000000e+01,1.949000000000e+20
8.092000000000e+01,1.990000000000e+20
