# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_cbedb2ebc870436adf85"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P)"
# neutral: "Xe"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 131.293, &alpha; = 4.044."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14073_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "6df68edce0a6e6620028960a0ff99df24c710cc9185ed2e59f81fffe3f838b7e"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,2.801728957440e+21
1.600000000000e-01,2.801728957440e+21
6.300000000000e-01,2.801728957440e+21
1.110000000000e+00,2.801728957440e+21
1.940000000000e+00,2.801728957440e+21
2.720000000000e+00,2.801728957440e+21
3.810000000000e+00,2.801728957440e+21
4.570000000000e+00,2.801463792860e+21
5.480000000000e+00,2.801463792860e+21
6.310000000000e+00,2.801463792860e+21
7.250000000000e+00,2.801198628279e+21
8.340000000000e+00,2.800933463699e+21
9.590000000000e+00,2.800933463699e+21
1.055000000000e+01,2.800668299118e+21
1.161000000000e+01,2.800403134538e+21
1.344000000000e+01,2.799872805377e+21
1.556000000000e+01,2.799077311635e+21
1.634000000000e+01,2.798812147055e+21
1.716000000000e+01,2.798546982474e+21
1.802000000000e+01,2.798281817894e+21
2.067000000000e+01,2.797221159572e+21
2.109000000000e+01,2.796955994991e+21
2.151000000000e+01,2.796690830411e+21
2.194000000000e+01,2.796425665830e+21
2.238000000000e+01,2.796160501250e+21
2.283000000000e+01,2.795895336669e+21
2.329000000000e+01,2.795630172089e+21
2.376000000000e+01,2.795365007508e+21
2.423000000000e+01,2.795099842928e+21
2.472000000000e+01,2.794834678347e+21
2.522000000000e+01,2.794569513767e+21
2.572000000000e+01,2.794304349186e+21
2.731000000000e+01,2.793243690865e+21
2.841000000000e+01,2.792448197123e+21
3.016000000000e+01,2.791122374221e+21
3.077000000000e+01,2.790592045060e+21
3.139000000000e+01,2.790061715899e+21
3.202000000000e+01,2.789531386738e+21
3.267000000000e+01,2.789001057577e+21
3.333000000000e+01,2.788470728416e+21
3.539000000000e+01,2.786614576352e+21
3.683000000000e+01,2.785288753450e+21
3.758000000000e+01,2.784493259708e+21
4.071000000000e+01,2.781311284743e+21
4.154000000000e+01,2.780515791001e+21
4.238000000000e+01,2.779720297260e+21
4.593000000000e+01,2.776007993133e+21
4.782000000000e+01,2.774151841069e+21
4.978000000000e+01,2.772295689006e+21
5.080000000000e+01,2.771235030684e+21
5.184000000000e+01,2.770174372362e+21
5.508000000000e+01,2.767257561977e+21
5.621000000000e+01,2.766196903655e+21
5.736000000000e+01,2.765136245333e+21
6.479000000000e+01,2.759302624562e+21
6.887000000000e+01,2.756916143338e+21
7.471000000000e+01,2.754264497533e+21
7.781000000000e+01,2.752938674630e+21
8.104000000000e+01,2.751612851728e+21
8.270000000000e+01,2.751082522567e+21
9.151000000000e+01,2.748165712182e+21
1.012000000000e+02,2.744718572635e+21
1.032500000000e+02,2.743923078894e+21
1.053300000000e+02,2.743127585152e+21
1.074600000000e+02,2.742332091411e+21
1.118300000000e+02,2.740475939347e+21
1.140800000000e+02,2.739680445606e+21
1.163700000000e+02,2.738884951864e+21
1.259700000000e+02,2.737028799801e+21
1.336700000000e+02,2.736763635221e+21
1.390400000000e+02,2.737824293542e+21
1.564800000000e+02,2.744188243474e+21
1.595800000000e+02,2.746309560118e+21
1.627400000000e+02,2.749491535084e+21
1.659500000000e+02,2.753203839211e+21
1.759500000000e+02,2.766992397396e+21
1.794000000000e+02,2.772295689006e+21
1.829000000000e+02,2.777598980616e+21
1.864600000000e+02,2.784493259708e+21
1.900700000000e+02,2.791122374221e+21
1.937200000000e+02,2.798281817894e+21
1.974300000000e+02,2.805441261567e+21
2.284200000000e+02,2.873323394172e+21
2.324200000000e+02,2.879422179523e+21
2.364900000000e+02,2.885520964874e+21
2.405700000000e+02,2.891089421065e+21
2.447000000000e+02,2.896392712675e+21
2.488600000000e+02,2.900370181382e+21
2.530900000000e+02,2.904347650089e+21
2.573400000000e+02,2.907529625055e+21
2.705600000000e+02,2.915219397889e+21
2.795100000000e+02,2.917605879114e+21
2.841200000000e+02,2.919196866597e+21
2.888000000000e+02,2.920257524918e+21
2.934600000000e+02,2.921053018660e+21
2.981800000000e+02,2.921848512401e+21
3.029700000000e+02,2.922644006143e+21
3.177600000000e+02,2.926091145689e+21
3.229500000000e+02,2.928477626914e+21
3.281600000000e+02,2.930333778977e+21
3.334900000000e+02,2.932985424782e+21
3.389400000000e+02,2.935902235167e+21
3.445000000000e+02,2.939084210133e+21
4.160100000000e+02,3.001928215709e+21
4.237600000000e+02,3.006966342738e+21
4.317700000000e+02,3.012004469767e+21
4.400500000000e+02,3.016512267636e+21
4.486100000000e+02,3.020489736343e+21
4.574600000000e+02,3.023936875889e+21
4.666100000000e+02,3.026853686275e+21
4.760700000000e+02,3.028975002919e+21
4.858500000000e+02,3.030300825821e+21
4.959600000000e+02,3.030831154982e+21
5.064300000000e+02,3.030565990402e+21
5.172500000000e+02,3.029240167499e+21
5.284400000000e+02,3.027649180016e+21
5.400100000000e+02,3.024997534211e+21
5.519700000000e+02,3.022345888406e+21
7.483000000000e+02,2.940410033036e+21
7.669500000000e+02,2.929007956075e+21
7.861600000000e+02,2.917340714533e+21
8.059500000000e+02,2.904877979250e+21
8.263700000000e+02,2.892415243967e+21
8.474000000000e+02,2.879157014943e+21
8.690600000000e+02,2.865898785918e+21
