# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_85e0c4686bd783084b47"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P3/2)"
# neutral: "Xe"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-20 22:07:58"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14075_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "3210eceb40eb09278687f12699790ba768ddc570c7b93c4f29b6960330d64c59"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,2.808092907372e+21
1.600000000000e-01,2.808092907372e+21
6.300000000000e-01,2.808092907372e+21
1.110000000000e+00,2.808092907372e+21
1.940000000000e+00,2.808092907372e+21
2.710000000000e+00,2.808092907372e+21
3.800000000000e+00,2.807827742791e+21
4.560000000000e+00,2.807827742791e+21
5.470000000000e+00,2.807827742791e+21
6.290000000000e+00,2.807827742791e+21
7.240000000000e+00,2.807562578211e+21
8.320000000000e+00,2.807562578211e+21
9.570000000000e+00,2.807297413630e+21
1.053000000000e+01,2.807297413630e+21
1.158000000000e+01,2.807032249050e+21
1.216000000000e+01,2.807032249050e+21
1.277000000000e+01,2.806767084469e+21
1.341000000000e+01,2.806767084469e+21
1.408000000000e+01,2.806501919889e+21
1.478000000000e+01,2.806236755308e+21
1.552000000000e+01,2.806236755308e+21
1.630000000000e+01,2.805971590728e+21
1.711000000000e+01,2.805706426147e+21
1.797000000000e+01,2.805441261567e+21
1.887000000000e+01,2.805176096987e+21
1.982000000000e+01,2.804645767826e+21
2.021000000000e+01,2.804645767826e+21
2.062000000000e+01,2.804380603245e+21
2.103000000000e+01,2.804115438665e+21
2.145000000000e+01,2.804115438665e+21
2.188000000000e+01,2.803850274084e+21
2.232000000000e+01,2.803585109504e+21
2.277000000000e+01,2.803585109504e+21
2.323000000000e+01,2.803319944923e+21
2.369000000000e+01,2.803054780343e+21
2.417000000000e+01,2.802789615762e+21
2.465000000000e+01,2.802524451182e+21
2.515000000000e+01,2.802259286601e+21
2.565000000000e+01,2.801994122021e+21
2.617000000000e+01,2.801728957440e+21
2.669000000000e+01,2.801463792860e+21
2.723000000000e+01,2.801198628279e+21
2.778000000000e+01,2.800933463699e+21
2.833000000000e+01,2.800668299118e+21
2.890000000000e+01,2.800137969957e+21
2.949000000000e+01,2.799872805377e+21
3.008000000000e+01,2.799607640796e+21
3.068000000000e+01,2.799077311635e+21
3.130000000000e+01,2.798812147055e+21
3.193000000000e+01,2.798281817894e+21
3.257000000000e+01,2.798016653313e+21
3.323000000000e+01,2.797486324152e+21
3.390000000000e+01,2.796955994991e+21
3.458000000000e+01,2.796425665830e+21
3.528000000000e+01,2.796160501250e+21
3.599000000000e+01,2.795630172089e+21
3.671000000000e+01,2.795099842928e+21
4.139000000000e+01,2.791387538801e+21
4.223000000000e+01,2.790592045060e+21
4.308000000000e+01,2.790061715899e+21
4.396000000000e+01,2.789266222157e+21
4.485000000000e+01,2.788735892996e+21
4.576000000000e+01,2.787940399255e+21
4.668000000000e+01,2.787410070094e+21
4.763000000000e+01,2.786879740933e+21
4.860000000000e+01,2.786084247191e+21
4.958000000000e+01,2.785553918030e+21
5.059000000000e+01,2.785023588869e+21
5.162000000000e+01,2.784493259708e+21
5.267000000000e+01,2.783962930547e+21
5.374000000000e+01,2.783432601386e+21
5.483000000000e+01,2.782902272225e+21
5.709000000000e+01,2.782106778484e+21
5.825000000000e+01,2.781841613904e+21
5.944000000000e+01,2.781576449323e+21
6.065000000000e+01,2.781046120162e+21
6.575000000000e+01,2.781046120162e+21
6.708000000000e+01,2.781841613904e+21
6.844000000000e+01,2.781841613904e+21
6.983000000000e+01,2.782371943065e+21
7.125000000000e+01,2.782637107645e+21
7.270000000000e+01,2.783432601386e+21
7.417000000000e+01,2.783962930547e+21
8.034000000000e+01,2.786614576352e+21
8.196000000000e+01,2.787940399255e+21
8.528000000000e+01,2.790592045060e+21
8.698000000000e+01,2.792183032543e+21
9.227000000000e+01,2.795099842928e+21
9.594000000000e+01,2.796955994991e+21
9.782000000000e+01,2.798281817894e+21
9.973000000000e+01,2.799342476216e+21
1.016700000000e+02,2.800137969957e+21
1.036500000000e+02,2.800933463699e+21
1.056500000000e+02,2.801728957440e+21
1.076900000000e+02,2.802524451182e+21
1.097700000000e+02,2.803319944923e+21
1.118700000000e+02,2.803850274084e+21
1.140100000000e+02,2.804645767826e+21
1.229300000000e+02,2.807827742791e+21
1.252500000000e+02,2.808888401113e+21
1.300200000000e+02,2.810744553177e+21
1.374900000000e+02,2.815252351045e+21
1.427100000000e+02,2.819229819752e+21
1.453900000000e+02,2.821616300977e+21
1.481200000000e+02,2.824267946782e+21
1.537300000000e+02,2.830631896713e+21
1.595500000000e+02,2.838851998709e+21
1.655900000000e+02,2.849988911089e+21
1.783700000000e+02,2.873588558753e+21
1.816900000000e+02,2.879422179523e+21
1.850900000000e+02,2.886581623196e+21
1.885400000000e+02,2.893741066870e+21
1.920400000000e+02,2.900900510543e+21
1.956100000000e+02,2.908059954216e+21
1.992300000000e+02,2.915484562470e+21
2.029000000000e+02,2.922378841562e+21
2.066300000000e+02,2.929273120655e+21
2.104100000000e+02,2.935902235167e+21
2.142500000000e+02,2.942001020519e+21
2.181400000000e+02,2.947569476709e+21
2.301400000000e+02,2.962683857797e+21
2.342400000000e+02,2.966926491084e+21
2.384000000000e+02,2.970638795211e+21
2.426200000000e+02,2.974085934758e+21
2.468900000000e+02,2.977267909723e+21
2.512300000000e+02,2.979919555528e+21
2.556300000000e+02,2.982306036753e+21
2.646200000000e+02,2.987078999202e+21
2.692100000000e+02,2.989200315845e+21
2.738900000000e+02,2.991056467909e+21
2.786300000000e+02,2.993177784553e+21
2.834600000000e+02,2.995299101197e+21
2.883800000000e+02,2.997420417841e+21
2.933800000000e+02,2.999541734484e+21
2.984800000000e+02,3.001663051128e+21
3.036900000000e+02,3.004049532353e+21
3.090000000000e+02,3.006436013577e+21
3.256800000000e+02,3.013065128089e+21
3.374000000000e+02,3.018368419699e+21
3.434400000000e+02,3.021815559246e+21
3.496900000000e+02,3.024467205050e+21
3.561100000000e+02,3.027384015436e+21
3.694900000000e+02,3.032422142465e+21
3.764700000000e+02,3.034808623689e+21
3.836700000000e+02,3.036929940333e+21
3.910700000000e+02,3.038786092397e+21
3.987000000000e+02,3.040377079880e+21
4.065700000000e+02,3.041968067363e+21
4.146800000000e+02,3.043028725685e+21
4.230600000000e+02,3.043293890265e+21
4.317000000000e+02,3.043559054846e+21
4.406100000000e+02,3.043293890265e+21
4.498200000000e+02,3.042233231943e+21
4.593200000000e+02,3.040642244460e+21
4.691300000000e+02,3.038255763236e+21
4.792600000000e+02,3.035604117431e+21
4.897200000000e+02,3.032422142465e+21
5.005200000000e+02,3.030831154982e+21
5.116700000000e+02,3.027118850855e+21
5.231900000000e+02,3.023141382148e+21
5.350800000000e+02,3.018368419699e+21
5.473400000000e+02,3.013330292670e+21
5.600100000000e+02,3.007496671899e+21
5.730700000000e+02,3.001132721967e+21
5.865600000000e+02,2.993973278294e+21
6.004700000000e+02,2.986548670041e+21
6.148100000000e+02,2.978593732626e+21
6.296000000000e+02,2.970108466050e+21
6.448500000000e+02,2.960827705733e+21
