# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_c120f84db4e7279c8077"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P3/2)"
# neutral: "Xe"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-20 22:07:58"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14075_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "3210eceb40eb09278687f12699790ba768ddc570c7b93c4f29b6960330d64c59"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,2.771235030684e+21
2.800000000000e-01,2.771235030684e+21
1.110000000000e+00,2.770969866104e+21
1.940000000000e+00,2.770969866104e+21
3.400000000000e+00,2.770969866104e+21
4.760000000000e+00,2.770969866104e+21
6.670000000000e+00,2.770969866104e+21
8.000000000000e+00,2.770704701523e+21
9.600000000000e+00,2.770704701523e+21
1.104000000000e+01,2.770439536943e+21
1.270000000000e+01,2.770439536943e+21
1.461000000000e+01,2.770174372362e+21
1.680000000000e+01,2.769909207782e+21
1.848000000000e+01,2.769644043201e+21
2.033000000000e+01,2.769378878621e+21
2.135000000000e+01,2.769113714040e+21
2.242000000000e+01,2.769113714040e+21
2.354000000000e+01,2.768848549460e+21
2.472000000000e+01,2.768583384879e+21
2.596000000000e+01,2.768583384879e+21
2.725000000000e+01,2.768318220299e+21
2.862000000000e+01,2.768318220299e+21
3.005000000000e+01,2.768053055718e+21
3.156000000000e+01,2.768053055718e+21
3.314000000000e+01,2.767787891138e+21
3.480000000000e+01,2.767787891138e+21
3.550000000000e+01,2.767787891138e+21
3.621000000000e+01,2.767787891138e+21
3.693000000000e+01,2.767787891138e+21
3.767000000000e+01,2.767787891138e+21
3.843000000000e+01,2.767787891138e+21
3.920000000000e+01,2.767787891138e+21
3.998000000000e+01,2.767787891138e+21
4.078000000000e+01,2.768053055718e+21
4.160000000000e+01,2.768053055718e+21
4.243000000000e+01,2.768053055718e+21
4.328000000000e+01,2.768318220299e+21
4.415000000000e+01,2.768318220299e+21
4.503000000000e+01,2.768583384879e+21
4.593000000000e+01,2.768583384879e+21
4.685000000000e+01,2.768848549460e+21
4.778000000000e+01,2.769113714040e+21
4.874000000000e+01,2.769378878621e+21
4.971000000000e+01,2.769644043201e+21
5.071000000000e+01,2.770174372362e+21
5.172000000000e+01,2.770439536943e+21
5.275000000000e+01,2.770969866104e+21
5.381000000000e+01,2.771235030684e+21
5.488000000000e+01,2.771765359845e+21
5.597000000000e+01,2.772295689006e+21
5.709000000000e+01,2.772826018167e+21
