# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_849adb4cbe7a1e02a526"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "76Ge^+(2P1/2)"
# neutral: "Xe"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-15 19:59:33"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14080_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "3d49dc4ca1574b37f49c5cf42678a41d6013afed39067ff6f5cb5470dc029e70"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,2.731460343611e+21
2.300000000000e-01,2.731460343611e+21
9.200000000000e-01,2.731460343611e+21
2.820000000000e+00,2.731195179030e+21
5.520000000000e+00,2.730930014450e+21
6.630000000000e+00,2.730664849869e+21
9.150000000000e+00,2.729869356128e+21
1.053000000000e+01,2.729339026967e+21
1.393000000000e+01,2.727748039484e+21
1.686000000000e+01,2.726157052001e+21
1.859000000000e+01,2.725096393679e+21
2.051000000000e+01,2.723770570777e+21
2.154000000000e+01,2.722975077035e+21
2.262000000000e+01,2.722179583294e+21
2.495000000000e+01,2.720323431230e+21
2.753000000000e+01,2.717936950006e+21
3.133000000000e+01,2.713959481299e+21
3.326000000000e+01,2.711838164655e+21
3.394000000000e+01,2.711042670913e+21
3.462000000000e+01,2.710247177172e+21
3.533000000000e+01,2.709451683430e+21
3.604000000000e+01,2.708656189689e+21
3.677000000000e+01,2.707860695947e+21
3.828000000000e+01,2.706004543884e+21
3.906000000000e+01,2.704943885562e+21
4.066000000000e+01,2.702822568918e+21
4.149000000000e+01,2.701761910596e+21
4.233000000000e+01,2.700701252274e+21
4.408000000000e+01,2.698314771050e+21
4.498000000000e+01,2.696988948147e+21
4.683000000000e+01,2.694337302342e+21
4.779000000000e+01,2.693011479440e+21
4.877000000000e+01,2.691685656537e+21
4.977000000000e+01,2.690094669055e+21
5.079000000000e+01,2.688503681572e+21
5.183000000000e+01,2.686912694089e+21
5.623000000000e+01,2.680283579576e+21
5.739000000000e+01,2.678427427513e+21
5.979000000000e+01,2.674715123386e+21
6.103000000000e+01,2.672593806742e+21
6.229000000000e+01,2.670737654679e+21
6.358000000000e+01,2.668616338035e+21
6.491000000000e+01,2.666495021391e+21
6.626000000000e+01,2.664373704747e+21
6.763000000000e+01,2.661987223523e+21
6.905000000000e+01,2.659600742298e+21
7.196000000000e+01,2.654827779850e+21
7.347000000000e+01,2.652441298625e+21
7.501000000000e+01,2.650054817401e+21
7.658000000000e+01,2.647668336176e+21
7.819000000000e+01,2.644751525791e+21
7.984000000000e+01,2.641834715406e+21
8.152000000000e+01,2.639183069601e+21
8.324000000000e+01,2.636266259215e+21
9.052000000000e+01,2.624599017674e+21
9.245000000000e+01,2.621417042708e+21
9.643000000000e+01,2.615318257357e+21
